1 0.002875 0.00015 0.0 0.0162556 0.0378476 0.0 0
1 0.002875 0.00015 0.0 0.0162556 -0.0021524 0.0 0
1 0.002875 0.00015 0.0 0.0398634 0.0295965 0.0 0
1 0.002875 0.00015 0.0 -0.0001366 0.0295965 0.0 0
1 0.002875 0.00015 0.0 0.0313644 0.0334524 0.0 0
1 0.002875 0.00015 0.0 0.0073114 0.027557 0.0 0
1 0.002875 0.00015 0.0 0.0323595 0.0231638 0.0 0
1 0.002875 0.00015 0.0 0.0185465 0.0294362 0.0 0
1 0.002875 0.00015 0.0 0.0223489 0.0422472 0.0 0
1 0.002875 0.00015 0.0 0.0223489 0.0022472 0.0 0
1 0.002625 0.00015 0.0 0.0005607 0.0211198 0.0 0
1 0.002625 0.00015 0.0 0.0405607 0.0211198 0.0 0
1 0.002625 0.00015 0.0 -0.0012018 0.0385212 0.0 0
1 0.002625 0.00015 0.0 -0.0012018 -0.0014788 0.0 0
1 0.002625 0.00015 0.0 0.0387982 -0.0014788 0.0 0
1 0.002625 0.00015 0.0 0.0387982 0.0385212 0.0 0
1 0.002625 0.00015 0.0 0.0319269 0.0028238 0.0 0
1 0.002625 0.00015 0.0 0.0136251 0.0051147 0.0 0
1 0.002625 0.00015 0.0 0.0355837 0.0095218 0.0 0
1 0.002625 0.00015 0.0 0.0231009 0.0083164 0.0 0
1 0.002625 0.00015 0.0 0.0413008 0.0121874 0.0 0
1 0.002625 0.00015 0.0 0.0013008 0.0121874 0.0 0
1 0.002375 0.00015 0.0 0.0118618 0.0329024 0.0 0
1 0.002375 0.00015 0.0 0.0061016 0.0078677 0.0 0
1 0.002375 0.00015 0.0 0.0124721 0.0207935 0.0 0
1 0.002375 0.00015 0.0 0.0087839 0.0405203 0.0 0
1 0.002375 0.00015 0.0 0.0087839 0.0005203 0.0 0
1 0.002375 0.00015 0.0 0.0088148 0.0172822 0.0 0
1 0.002375 0.00015 0.0 0.0242961 0.0343894 0.0 0
1 0.002375 0.00015 0.0 0.0226963 0.0178402 0.0 0
1 0.002125 0.00015 0.0 0.0316269 0.0162406 0.0 0
1 0.002125 0.00015 0.0 0.0185508 0.023857 0.0 0
1 0.002125 0.00015 0.0 0.0289446 0.0071358 0.0 0
1 0.002125 0.00015 0.0 0.0239679 0.0240164 0.0 0
1 0.002125 0.00015 0.0 0.0101852 0.0118048 0.0 0
1 0.002125 0.00015 0.0 0.013475 0.0155419 0.0 0
1 0.002125 0.00015 0.0 0.0368304 0.004311 0.0 0
1 0.002125 0.00015 0.0 0.0200699 0.0134364 0.0 0
1 0.002125 0.00015 0.0 0.0281694 0.0124531 0.0 0
1 0.002125 0.00015 0.0 0.0050537 0.0358001 0.0 0
1 0.002125 0.00015 0.0 0.0033136 0.0033843 0.0 0
1 0.001875 0.00015 0.0 0.0267755 -0.0000187 0.0 0
