Dry sand - Load to 27.12% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@27.12 strain
0,0,,,,
0.0249377,0.0413353,,,,
0.0498753,0.077522,,,,
0.074813,0.113727,,,,
0.0997506,0.14995,,,,
0.124688,0.186191,,,,
0.149626,0.22245,,,,
0.174564,0.258727,,,,
0.199501,0.295023,,,,
0.224439,0.331337,,,,
0.249377,0.36767,,,,
0.274314,0.404021,,,,
0.299252,0.44039,,,,
0.32419,0.476778,,,,
0.349127,0.513185,,,,
0.374065,0.549611,,,,
0.399002,0.586055,,,,
0.42394,0.622518,,,,
0.448878,0.659001,,,,
0.473815,0.695502,,,,
0.498753,0.732022,,,,
0.523691,0.768562,,,,
0.548628,0.805121,,,,
0.573566,0.841699,,,,
0.598504,0.878297,,,,
0.623441,0.914914,,,,
0.648379,0.951552,,,,
0.673317,0.988209,,,,
0.698254,1.02489,,,,
0.723192,1.06158,,,,
0.74813,1.0983,,,,
0.773067,1.13504,,,,
0.798005,1.17179,,,,
0.822943,1.20857,,,,
0.84788,1.24537,,,,
0.872818,1.28219,,,,
0.897756,1.31903,,,,
0.922693,1.35589,,,,
0.947631,1.39277,,,,
0.972569,1.42968,,,,
0.997506,1.4666,,,,
1.02244,1.50355,,,,
1.04738,1.54051,,,,
1.07232,1.5775,,,,
1.09726,1.61452,,,,
1.12219,1.65155,,,,
1.14713,1.6886,,,,
1.17207,1.72568,,,,
1.19701,1.76278,,,,
1.22195,1.7999,,,,
1.24688,1.83705,,,,
1.27182,1.87422,,,,
1.29676,1.91141,,,,
1.3217,1.94862,,,,
1.34663,1.98586,,,,
1.37157,2.02312,,,,
1.39651,2.06041,,,,
1.42145,2.09772,,,,
1.44638,2.13505,,,,
1.47132,2.17241,,,,
1.49626,2.20979,,,,
1.5212,2.24719,,,,
1.54613,2.28462,,,,
1.57107,2.32208,,,,
1.59601,2.35956,,,,
1.62095,2.39707,,,,
1.64589,2.4346,,,,
1.67082,2.47215,,,,
1.69576,2.50974,,,,
1.7207,2.54735,,,,
1.74564,2.58498,,,,
1.77057,2.62264,,,,
1.79551,2.66033,,,,
1.82045,2.69804,,,,
1.84539,2.73578,,,,
1.87032,2.77355,,,,
1.89526,2.81135,,,,
1.9202,2.84917,,,,
1.94514,2.88702,,,,
1.97007,2.9249,,,,
1.99501,2.96281,,,,
2.01995,3.00074,,,,
2.04489,3.03871,,,,
2.06983,3.0767,,,,
2.09476,3.11472,,,,
2.1197,3.15277,,,,
2.14464,3.19085,,,,
2.16958,3.22896,,,,
2.19451,3.2671,,,,
2.21945,3.30527,,,,
2.24439,3.34347,,,,
2.26933,3.38171,,,,
2.29426,3.41997,,,,
2.3192,3.45826,,,,
2.34414,3.49658,,,,
2.36908,3.53494,,,,
2.39402,3.57333,,,,
2.41895,3.61175,,,,
2.44389,3.6502,,,,
2.46883,3.68868,,,,
2.49377,3.7272,,,,
2.5187,3.76575,,,,
2.54364,3.80434,,,,
2.56858,3.84295,,,,
2.59352,3.8816,,,,
2.61845,3.92029,,,,
2.64339,3.95901,,,,
2.66833,3.99776,,,,
2.69327,4.03655,,,,
2.7182,4.07537,,,,
2.74314,4.11423,,,,
2.76808,4.15313,,,,
2.79302,4.19206,,,,
2.81796,4.23103,,,,
2.84289,4.27003,,,,
2.86783,4.30907,,,,
2.89277,4.34815,,,,
2.91771,4.38726,,,,
2.94264,4.42641,,,,
2.96758,4.4656,,,,
